value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
52.65,6547,,AIA,Anguilla,1950
52.55,6547,,AIA,Anguilla,1951
52.3,6547,,AIA,Anguilla,1952
51.57,6547,,AIA,Anguilla,1953
50.25,6547,,AIA,Anguilla,1954
48.53,6547,,AIA,Anguilla,1955
46.78,6547,,AIA,Anguilla,1956
45.13,6547,,AIA,Anguilla,1957
43.52,6547,,AIA,Anguilla,1958
42.17,6547,,AIA,Anguilla,1959
41.26,6547,,AIA,Anguilla,1960
41.25,6547,,AIA,Anguilla,1961
41.56,6547,,AIA,Anguilla,1962
41.65,6547,,AIA,Anguilla,1963
41.52,6547,,AIA,Anguilla,1964
40.68,6547,,AIA,Anguilla,1965
39.57,6547,,AIA,Anguilla,1966
38.36,6547,,AIA,Anguilla,1967
36.91,6547,,AIA,Anguilla,1968
35.49,6547,,AIA,Anguilla,1969
34.03,6547,,AIA,Anguilla,1970
32.62,6547,,AIA,Anguilla,1971
31.28,6547,,AIA,Anguilla,1972
29.98,6547,,AIA,Anguilla,1973
28.88,6547,,AIA,Anguilla,1974
28.64,6547,,AIA,Anguilla,1975
28.66,6547,,AIA,Anguilla,1976
28.46,6547,,AIA,Anguilla,1977
28.21,6547,,AIA,Anguilla,1978
27.92,6547,,AIA,Anguilla,1979
27.51,6547,,AIA,Anguilla,1980
26.97,6547,,AIA,Anguilla,1981
26.25,6547,,AIA,Anguilla,1982
25.19,6547,,AIA,Anguilla,1983
23.94,6547,,AIA,Anguilla,1984
22.81,6547,,AIA,Anguilla,1985
21.64,6547,,AIA,Anguilla,1986
20.34,6547,,AIA,Anguilla,1987
19.33,6547,,AIA,Anguilla,1988
21.19,6547,,AIA,Anguilla,1989
18.06,6547,,AIA,Anguilla,1990
17.71,6547,,AIA,Anguilla,1991
16.99,6547,,AIA,Anguilla,1992
17.06,6547,,AIA,Anguilla,1993
16.82,6547,,AIA,Anguilla,1994
17.03,6547,,AIA,Anguilla,1995
16.36,6547,,AIA,Anguilla,1996
16.02,6547,,AIA,Anguilla,1997
15.8,6547,,AIA,Anguilla,1998
15.4,6547,,AIA,Anguilla,1999
14.84,6547,,AIA,Anguilla,2000
16.3,6547,,AIA,Anguilla,2001
13.26,6547,,AIA,Anguilla,2002
12.44,6547,,AIA,Anguilla,2003
12.34,6547,,AIA,Anguilla,2004
12.57,6547,,AIA,Anguilla,2005
13.7,6547,,AIA,Anguilla,2006
13.87,6547,,AIA,Anguilla,2007
13.79,6547,,AIA,Anguilla,2008
13.63,6547,,AIA,Anguilla,2009
13.38,6547,,AIA,Anguilla,2010
13.02,6547,,AIA,Anguilla,2011
12.68,6547,,AIA,Anguilla,2012
12.4,6547,,AIA,Anguilla,2013
10.56,6547,,AIA,Anguilla,2014
10.72,6547,,AIA,Anguilla,2015
10.63,6547,,AIA,Anguilla,2016
10.4,6547,,AIA,Anguilla,2017
10.09,6547,,AIA,Anguilla,2018
9.9,6547,,AIA,Anguilla,2019
9.72,6547,,AIA,Anguilla,2020
9.57,6547,,AIA,Anguilla,2021
9.45,6547,,AIA,Anguilla,2022
9.14,6547,,AIA,Anguilla,2023
8.92,6547,,AIA,Anguilla,2024
8.76,6547,,AIA,Anguilla,2025
8.57,6547,,AIA,Anguilla,2026
8.43,6547,,AIA,Anguilla,2027
8.28,6547,,AIA,Anguilla,2028
8.19,6547,,AIA,Anguilla,2029
8.09,6547,,AIA,Anguilla,2030
7.96,6547,,AIA,Anguilla,2031
7.86,6547,,AIA,Anguilla,2032
7.8,6547,,AIA,Anguilla,2033
7.74,6547,,AIA,Anguilla,2034
7.73,6547,,AIA,Anguilla,2035
7.67,6547,,AIA,Anguilla,2036
7.67,6547,,AIA,Anguilla,2037
7.67,6547,,AIA,Anguilla,2038
7.68,6547,,AIA,Anguilla,2039
7.68,6547,,AIA,Anguilla,2040
7.68,6547,,AIA,Anguilla,2041
7.63,6547,,AIA,Anguilla,2042
7.63,6547,,AIA,Anguilla,2043
7.63,6547,,AIA,Anguilla,2044
7.62,6547,,AIA,Anguilla,2045
7.6,6547,,AIA,Anguilla,2046
7.52,6547,,AIA,Anguilla,2047
7.48,6547,,AIA,Anguilla,2048
7.4,6547,,AIA,Anguilla,2049
7.3,6547,,AIA,Anguilla,2050
7.21,6547,,AIA,Anguilla,2051
7.12,6547,,AIA,Anguilla,2052
7.0,6547,,AIA,Anguilla,2053
6.87,6547,,AIA,Anguilla,2054
6.81,6547,,AIA,Anguilla,2055
6.75,6547,,AIA,Anguilla,2056
6.69,6547,,AIA,Anguilla,2057
6.63,6547,,AIA,Anguilla,2058
6.6,6547,,AIA,Anguilla,2059
6.58,6547,,AIA,Anguilla,2060
6.54,6547,,AIA,Anguilla,2061
6.57,6547,,AIA,Anguilla,2062
6.58,6547,,AIA,Anguilla,2063
6.64,6547,,AIA,Anguilla,2064
6.62,6547,,AIA,Anguilla,2065
6.63,6547,,AIA,Anguilla,2066
6.65,6547,,AIA,Anguilla,2067
6.68,6547,,AIA,Anguilla,2068
6.75,6547,,AIA,Anguilla,2069
6.79,6547,,AIA,Anguilla,2070
6.81,6547,,AIA,Anguilla,2071
6.85,6547,,AIA,Anguilla,2072
6.89,6547,,AIA,Anguilla,2073
6.95,6547,,AIA,Anguilla,2074
6.97,6547,,AIA,Anguilla,2075
7.01,6547,,AIA,Anguilla,2076
7.02,6547,,AIA,Anguilla,2077
7.07,6547,,AIA,Anguilla,2078
7.05,6547,,AIA,Anguilla,2079
7.1,6547,,AIA,Anguilla,2080
7.08,6547,,AIA,Anguilla,2081
7.07,6547,,AIA,Anguilla,2082
7.05,6547,,AIA,Anguilla,2083
7.06,6547,,AIA,Anguilla,2084
7.02,6547,,AIA,Anguilla,2085
6.99,6547,,AIA,Anguilla,2086
6.96,6547,,AIA,Anguilla,2087
6.97,6547,,AIA,Anguilla,2088
6.97,6547,,AIA,Anguilla,2089
6.95,6547,,AIA,Anguilla,2090
6.95,6547,,AIA,Anguilla,2091
6.92,6547,,AIA,Anguilla,2092
6.92,6547,,AIA,Anguilla,2093
6.91,6547,,AIA,Anguilla,2094
6.92,6547,,AIA,Anguilla,2095
6.96,6547,,AIA,Anguilla,2096
6.98,6547,,AIA,Anguilla,2097
6.97,6547,,AIA,Anguilla,2098
7.01,6547,,AIA,Anguilla,2099
7.03,6547,,AIA,Anguilla,2100
36.55,6547,,ATG,Antigua and Barbuda,1950
36.19,6547,,ATG,Antigua and Barbuda,1951
35.95,6547,,ATG,Antigua and Barbuda,1952
35.73,6547,,ATG,Antigua and Barbuda,1953
35.68,6547,,ATG,Antigua and Barbuda,1954
35.56,6547,,ATG,Antigua and Barbuda,1955
35.48,6547,,ATG,Antigua and Barbuda,1956
35.39,6547,,ATG,Antigua and Barbuda,1957
35.3,6547,,ATG,Antigua and Barbuda,1958
35.13,6547,,ATG,Antigua and Barbuda,1959
34.96,6547,,ATG,Antigua and Barbuda,1960
34.96,6547,,ATG,Antigua and Barbuda,1961
34.91,6547,,ATG,Antigua and Barbuda,1962
34.87,6547,,ATG,Antigua and Barbuda,1963
34.43,6547,,ATG,Antigua and Barbuda,1964
33.15,6547,,ATG,Antigua and Barbuda,1965
31.76,6547,,ATG,Antigua and Barbuda,1966
30.12,6547,,ATG,Antigua and Barbuda,1967
28.48,6547,,ATG,Antigua and Barbuda,1968
26.89,6547,,ATG,Antigua and Barbuda,1969
25.54,6547,,ATG,Antigua and Barbuda,1970
24.98,6547,,ATG,Antigua and Barbuda,1971
24.37,6547,,ATG,Antigua and Barbuda,1972
23.78,6547,,ATG,Antigua and Barbuda,1973
22.92,6547,,ATG,Antigua and Barbuda,1974
22.32,6547,,ATG,Antigua and Barbuda,1975
23.12,6547,,ATG,Antigua and Barbuda,1976
23.91,6547,,ATG,Antigua and Barbuda,1977
22.93,6547,,ATG,Antigua and Barbuda,1978
24.26,6547,,ATG,Antigua and Barbuda,1979
21.95,6547,,ATG,Antigua and Barbuda,1980
21.01,6547,,ATG,Antigua and Barbuda,1981
20.64,6547,,ATG,Antigua and Barbuda,1982
21.16,6547,,ATG,Antigua and Barbuda,1983
20.66,6547,,ATG,Antigua and Barbuda,1984
21.71,6547,,ATG,Antigua and Barbuda,1985
20.34,6547,,ATG,Antigua and Barbuda,1986
20.39,6547,,ATG,Antigua and Barbuda,1987
20.65,6547,,ATG,Antigua and Barbuda,1988
20.84,6547,,ATG,Antigua and Barbuda,1989
20.81,6547,,ATG,Antigua and Barbuda,1990
18.25,6547,,ATG,Antigua and Barbuda,1991
18.95,6547,,ATG,Antigua and Barbuda,1992
18.32,6547,,ATG,Antigua and Barbuda,1993
18.74,6547,,ATG,Antigua and Barbuda,1994
19.62,6547,,ATG,Antigua and Barbuda,1995
20.63,6547,,ATG,Antigua and Barbuda,1996
19.95,6547,,ATG,Antigua and Barbuda,1997
18.31,6547,,ATG,Antigua and Barbuda,1998
17.69,6547,,ATG,Antigua and Barbuda,1999
19.72,6547,,ATG,Antigua and Barbuda,2000
17.97,6547,,ATG,Antigua and Barbuda,2001
17.11,6547,,ATG,Antigua and Barbuda,2002
16.44,6547,,ATG,Antigua and Barbuda,2003
15.95,6547,,ATG,Antigua and Barbuda,2004
15.61,6547,,ATG,Antigua and Barbuda,2005
15.46,6547,,ATG,Antigua and Barbuda,2006
15.59,6547,,ATG,Antigua and Barbuda,2007
16.99,6547,,ATG,Antigua and Barbuda,2008
16.58,6547,,ATG,Antigua and Barbuda,2009
14.66,6547,,ATG,Antigua and Barbuda,2010
14.26,6547,,ATG,Antigua and Barbuda,2011
13.46,6547,,ATG,Antigua and Barbuda,2012
12.44,6547,,ATG,Antigua and Barbuda,2013
12.31,6547,,ATG,Antigua and Barbuda,2014
12.59,6547,,ATG,Antigua and Barbuda,2015
11.66,6547,,ATG,Antigua and Barbuda,2016
11.8,6547,,ATG,Antigua and Barbuda,2017
10.82,6547,,ATG,Antigua and Barbuda,2018
11.5,6547,,ATG,Antigua and Barbuda,2019
12.18,6547,,ATG,Antigua and Barbuda,2020
12.13,6547,,ATG,Antigua and Barbuda,2021
12.0,6547,,ATG,Antigua and Barbuda,2022
