value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
13.81,6547,,AIA,Anguilla,1950
13.68,6547,,AIA,Anguilla,1951
13.36,6547,,AIA,Anguilla,1952
12.98,6547,,AIA,Anguilla,1953
12.56,6547,,AIA,Anguilla,1954
12.16,6547,,AIA,Anguilla,1955
12.13,6547,,AIA,Anguilla,1956
12.23,6547,,AIA,Anguilla,1957
12.49,6547,,AIA,Anguilla,1958
12.88,6547,,AIA,Anguilla,1959
14.34,6547,,AIA,Anguilla,1960
13.38,6547,,AIA,Anguilla,1961
13.06,6547,,AIA,Anguilla,1962
12.68,6547,,AIA,Anguilla,1963
12.33,6547,,AIA,Anguilla,1964
11.92,6547,,AIA,Anguilla,1965
11.6,6547,,AIA,Anguilla,1966
11.29,6547,,AIA,Anguilla,1967
10.99,6547,,AIA,Anguilla,1968
10.68,6547,,AIA,Anguilla,1969
10.5,6547,,AIA,Anguilla,1970
10.36,6547,,AIA,Anguilla,1971
10.22,6547,,AIA,Anguilla,1972
10.2,6547,,AIA,Anguilla,1973
10.21,6547,,AIA,Anguilla,1974
10.03,6547,,AIA,Anguilla,1975
9.9,6547,,AIA,Anguilla,1976
9.8,6547,,AIA,Anguilla,1977
9.73,6547,,AIA,Anguilla,1978
9.72,6547,,AIA,Anguilla,1979
9.73,6547,,AIA,Anguilla,1980
9.82,6547,,AIA,Anguilla,1981
9.92,6547,,AIA,Anguilla,1982
10.04,6547,,AIA,Anguilla,1983
10.23,6547,,AIA,Anguilla,1984
9.99,6547,,AIA,Anguilla,1985
9.68,6547,,AIA,Anguilla,1986
9.38,6547,,AIA,Anguilla,1987
9.09,6547,,AIA,Anguilla,1988
8.88,6547,,AIA,Anguilla,1989
8.55,6547,,AIA,Anguilla,1990
8.18,6547,,AIA,Anguilla,1991
7.84,6547,,AIA,Anguilla,1992
7.52,6547,,AIA,Anguilla,1993
7.26,6547,,AIA,Anguilla,1994
7.0,6547,,AIA,Anguilla,1995
6.79,6547,,AIA,Anguilla,1996
