value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.09,77,,BRB,Barbados,2004
2.27,77,,BLZ,Belize,2004
1.09,77,,BOL,Bolivia (Plurinational State of),2004
2.27,77,,BRA,Brazil,2004
1.09,77,,CHL,Chile,2004
2.27,77,,COL,Colombia,2004
1.09,77,,CRI,Costa Rica,2004
2.27,77,,CUB,Cuba,2004
1.09,77,,DOM,Dominican Republic,2004
2.27,77,,ECU,Ecuador,2004
1.09,77,,SLV,El Salvador,2004
2.27,77,,GUY,Guyana,2004
1.09,77,,HTI,Haiti,2004
1.34,77,,,Caribbean,2000
2.33,77,,,Latin America,2000
1.26,77,,,Caribbean,2001
2.29,77,,,Latin America,2001
1.18,77,,,Caribbean,2002
2.27,77,,,Latin America,2002
1.13,77,,,Caribbean,2003
2.28,77,,,Latin America,2003
1.09,77,,,Caribbean,2004
2.27,77,,,Latin America,2004
1.1,77,,,Caribbean,2005
2.25,77,,,Latin America,2005
1.14,77,,,Caribbean,2006
2.28,77,,,Latin America,2006
1.19,77,,,Caribbean,2007
2.31,77,,,Latin America,2007
1.26,77,,,Caribbean,2008
2.24,77,,,Latin America,2008
1.36,77,,,Caribbean,2009
2.19,77,,,Latin America,2009
1.32,77,,,Caribbean,2010
2.24,77,,,Latin America,2010
1.36,77,,,Caribbean,2011
2.25,77,,,Latin America,2011
1.38,77,,,Caribbean,2012
2.23,77,,,Latin America,2012
1.45,77,,,Caribbean,2013
2.23,77,,,Latin America,2013
1.51,77,,,Caribbean,2014
2.21,77,,,Latin America,2014
1.56,77,,,Caribbean,2015
2.27,77,,,Latin America,2015
1.55,77,,,Caribbean,2016
2.36,77,,,Latin America,2016
1.66,77,,,Caribbean,2017
2.37,77,,,Latin America,2017
1.83,77,,,Caribbean,2018
2.35,77,,,Latin America,2018
1.95,77,,,Caribbean,2019
2.43,77,,,Latin America,2019
2.0,77,,,Caribbean,2020
2.49,77,,,Latin America,2020
1.96,77,,,Caribbean,2021
2.48,77,,,Latin America,2021
2.01,77,,,Caribbean,2022
2.58,77,,,Latin America,2022
1.34,77,,ARG,Argentina,2000
2.33,77,,BHS,Bahamas,2000
1.34,77,,BRB,Barbados,2000
2.33,77,,BLZ,Belize,2000
1.34,77,,BOL,Bolivia (Plurinational State of),2000
