value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
1.06924,26,8620,,Latin America (simple average),2000,Decile 1,National
41.24721,26,8620,,Latin America (simple average),2000,Decile 10,National
2.29936,26,8620,,Latin America (simple average),2000,Decile 2,National
3.26644,26,8620,,Latin America (simple average),2000,Decile 3,National
4.25492,26,8620,,Latin America (simple average),2000,Decile 4,National
5.34493,26,8620,,Latin America (simple average),2000,Decile 5,National
6.73952,26,8620,,Latin America (simple average),2000,Decile 6,National
8.48946,26,8620,,Latin America (simple average),2000,Decile 7,National
11.13961,26,8620,,Latin America (simple average),2000,Decile 8,National
16.1493,26,8620,,Latin America (simple average),2000,Decile 9,National
1.32149,26,8620,,Latin America (simple average),2000,Decile 1,Rural
39.1182,26,8620,,Latin America (simple average),2000,Decile 10,Rural
2.60344,26,8620,,Latin America (simple average),2000,Decile 2,Rural
3.61273,26,8620,,Latin America (simple average),2000,Decile 3,Rural
4.60549,26,8620,,Latin America (simple average),2000,Decile 4,Rural
5.69037,26,8620,,Latin America (simple average),2000,Decile 5,Rural
7.09625,26,8620,,Latin America (simple average),2000,Decile 6,Rural
8.82513,26,8620,,Latin America (simple average),2000,Decile 7,Rural
11.34325,26,8620,,Latin America (simple average),2000,Decile 8,Rural
15.78365,26,8620,,Latin America (simple average),2000,Decile 9,Rural
1.38836,26,8620,,Latin America (simple average),2000,Decile 1,Urban
39.03296,26,8620,,Latin America (simple average),2000,Decile 10,Urban
2.74292,26,8620,,Latin America (simple average),2000,Decile 2,Urban
3.6685,26,8620,,Latin America (simple average),2000,Decile 3,Urban
4.62196,26,8620,,Latin America (simple average),2000,Decile 4,Urban
5.64521,26,8620,,Latin America (simple average),2000,Decile 5,Urban
6.95284,26,8620,,Latin America (simple average),2000,Decile 6,Urban
8.6363,26,8620,,Latin America (simple average),2000,Decile 7,Urban
11.26116,26,8620,,Latin America (simple average),2000,Decile 8,Urban
16.0498,26,8620,,Latin America (simple average),2000,Decile 9,Urban
1.03393,26,8620,,Latin America (simple average),2001,Decile 1,National
41.47173,26,8620,,Latin America (simple average),2001,Decile 10,National
2.24166,26,8620,,Latin America (simple average),2001,Decile 2,National
3.2113,26,8620,,Latin America (simple average),2001,Decile 3,National
4.22273,26,8620,,Latin America (simple average),2001,Decile 4,National
5.31013,26,8620,,Latin America (simple average),2001,Decile 5,National
