value,source_id,notes_ids,iso3,Country__ESTANDAR,Sex,Years__ESTANDAR
55.3,6547,,AIA,Anguilla,Both sexes,1950
55.5,6547,,AIA,Anguilla,Both sexes,1951
56.0,6547,,AIA,Anguilla,Both sexes,1952
56.5,6547,,AIA,Anguilla,Both sexes,1953
57.0,6547,,AIA,Anguilla,Both sexes,1954
57.5,6547,,AIA,Anguilla,Both sexes,1955
58.1,6547,,AIA,Anguilla,Both sexes,1956
58.7,6547,,AIA,Anguilla,Both sexes,1957
59.2,6547,,AIA,Anguilla,Both sexes,1958
59.9,6547,,AIA,Anguilla,Both sexes,1959
59.0,6547,,AIA,Anguilla,Both sexes,1960
60.9,6547,,AIA,Anguilla,Both sexes,1961
61.3,6547,,AIA,Anguilla,Both sexes,1962
61.9,6547,,AIA,Anguilla,Both sexes,1963
62.4,6547,,AIA,Anguilla,Both sexes,1964
62.9,6547,,AIA,Anguilla,Both sexes,1965
63.3,6547,,AIA,Anguilla,Both sexes,1966
63.7,6547,,AIA,Anguilla,Both sexes,1967
64.2,6547,,AIA,Anguilla,Both sexes,1968
64.7,6547,,AIA,Anguilla,Both sexes,1969
65.1,6547,,AIA,Anguilla,Both sexes,1970
65.5,6547,,AIA,Anguilla,Both sexes,1971
66.0,6547,,AIA,Anguilla,Both sexes,1972
66.4,6547,,AIA,Anguilla,Both sexes,1973
66.8,6547,,AIA,Anguilla,Both sexes,1974
67.3,6547,,AIA,Anguilla,Both sexes,1975
67.7,6547,,AIA,Anguilla,Both sexes,1976
68.0,6547,,AIA,Anguilla,Both sexes,1977
68.4,6547,,AIA,Anguilla,Both sexes,1978
68.7,6547,,AIA,Anguilla,Both sexes,1979
69.0,6547,,AIA,Anguilla,Both sexes,1980
69.1,6547,,AIA,Anguilla,Both sexes,1981
69.3,6547,,AIA,Anguilla,Both sexes,1982
69.5,6547,,AIA,Anguilla,Both sexes,1983
69.7,6547,,AIA,Anguilla,Both sexes,1984
69.9,6547,,AIA,Anguilla,Both sexes,1985
70.2,6547,,AIA,Anguilla,Both sexes,1986
70.5,6547,,AIA,Anguilla,Both sexes,1987
70.9,6547,,AIA,Anguilla,Both sexes,1988
71.2,6547,,AIA,Anguilla,Both sexes,1989
71.8,6547,,AIA,Anguilla,Both sexes,1990
72.6,6547,,AIA,Anguilla,Both sexes,1991
73.3,6547,,AIA,Anguilla,Both sexes,1992
73.8,6547,,AIA,Anguilla,Both sexes,1993
74.1,6547,,AIA,Anguilla,Both sexes,1994
74.4,6547,,AIA,Anguilla,Both sexes,1995
74.7,6547,,AIA,Anguilla,Both sexes,1996
75.0,6547,,AIA,Anguilla,Both sexes,1997
75.3,6547,,AIA,Anguilla,Both sexes,1998
75.6,6547,,AIA,Anguilla,Both sexes,1999
76.0,6547,,AIA,Anguilla,Both sexes,2000
76.3,6547,,AIA,Anguilla,Both sexes,2001
76.5,6547,,AIA,Anguilla,Both sexes,2002
76.5,6547,,AIA,Anguilla,Both sexes,2003
76.5,6547,,AIA,Anguilla,Both sexes,2004
76.5,6547,,AIA,Anguilla,Both sexes,2005
76.6,6547,,AIA,Anguilla,Both sexes,2006
76.9,6547,,AIA,Anguilla,Both sexes,2007
77.1,6547,,AIA,Anguilla,Both sexes,2008
77.4,6547,,AIA,Anguilla,Both sexes,2009
77.7,6547,,AIA,Anguilla,Both sexes,2010
77.9,6547,,AIA,Anguilla,Both sexes,2011
77.8,6547,,AIA,Anguilla,Both sexes,2012
77.6,6547,,AIA,Anguilla,Both sexes,2013
77.4,6547,,AIA,Anguilla,Both sexes,2014
77.1,6547,,AIA,Anguilla,Both sexes,2015
76.8,6547,,AIA,Anguilla,Both sexes,2016
75.9,6547,,AIA,Anguilla,Both sexes,2017
76.8,6547,,AIA,Anguilla,Both sexes,2018
76.9,6547,,AIA,Anguilla,Both sexes,2019
76.9,6547,,AIA,Anguilla,Both sexes,2020
76.6,6547,,AIA,Anguilla,Both sexes,2021
77.4,6547,,AIA,Anguilla,Both sexes,2022
77.6,6547,,AIA,Anguilla,Both sexes,2023
77.8,6547,,AIA,Anguilla,Both sexes,2024
78.0,6547,,AIA,Anguilla,Both sexes,2025
78.2,6547,,AIA,Anguilla,Both sexes,2026
78.4,6547,,AIA,Anguilla,Both sexes,2027
78.6,6547,,AIA,Anguilla,Both sexes,2028
78.8,6547,,AIA,Anguilla,Both sexes,2029
79.0,6547,,AIA,Anguilla,Both sexes,2030
79.2,6547,,AIA,Anguilla,Both sexes,2031
79.4,6547,,AIA,Anguilla,Both sexes,2032
79.6,6547,,AIA,Anguilla,Both sexes,2033
79.8,6547,,AIA,Anguilla,Both sexes,2034
79.9,6547,,AIA,Anguilla,Both sexes,2035
80.1,6547,,AIA,Anguilla,Both sexes,2036
80.3,6547,,AIA,Anguilla,Both sexes,2037
80.5,6547,,AIA,Anguilla,Both sexes,2038
80.7,6547,,AIA,Anguilla,Both sexes,2039
