value,source_id,notes_ids,iso3,Income_saving,Country__ESTANDAR,Years__ESTANDAR
140657.0738,,,ARG,Gross domestic product,Argentina,1990
188775.6453,,,ARG,Gross domestic product,Argentina,1991
227863.1674,,,ARG,Gross domestic product,Argentina,1992
256573.0392,,,ARG,Gross domestic product,Argentina,1993
279266.9323,,,ARG,Gross domestic product,Argentina,1994
279701.3931,,,ARG,Gross domestic product,Argentina,1995
295030.706,,,ARG,Gross domestic product,Argentina,1996
317532.5579,,,ARG,Gross domestic product,Argentina,1997
324135.0846,,,ARG,Gross domestic product,Argentina,1998
307410.1487,,,ARG,Gross domestic product,Argentina,1999
308148.2151,,,ARG,Gross domestic product,Argentina,2000
291334.7003,,,ARG,Gross domestic product,Argentina,2001
110583.5853,,,ARG,Gross domestic product,Argentina,2002
140444.1322,,,ARG,Gross domestic product,Argentina,2003
165939.3631,,,ARG,Gross domestic product,Argentina,2004
200628.2264,,,ARG,Gross domestic product,Argentina,2005
234368.7321,,,ARG,Gross domestic product,Argentina,2006
289637.8747,,,ARG,Gross domestic product,Argentina,2007
366092.263,,,ARG,Gross domestic product,Argentina,2008
335998.6545,,,ARG,Gross domestic product,Argentina,2009
426134.8704,,,ARG,Gross domestic product,Argentina,2010
529615.9912,,,ARG,Gross domestic product,Argentina,2011
580851.4639,,,ARG,Gross domestic product,Argentina,2012
613040.7466,,,ARG,Gross domestic product,Argentina,2013
566020.5912,,,ARG,Gross domestic product,Argentina,2014
644229.6922,,,ARG,Gross domestic product,Argentina,2015
557134.5065,,,ARG,Gross domestic product,Argentina,2016
642888.7184,,,ARG,Gross domestic product,Argentina,2017
543355.6449,,,ARG,Gross domestic product,Argentina,2018
4864.252333,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1990
5338.537635,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1991
5638.964194,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1992
5730.862173,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1993
5977.540749,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1994
6711.517373,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1995
7393.992166,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1996
7923.358167,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1997
8497.051912,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1998
8283.892391,,,BOL,Gross domestic product,Bolivia (Plurinational State of),1999
8396.549374,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2000
8142.363779,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2001
7905.618771,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2002
8081.796794,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2003
8772.863804,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2004
9549.899389,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2005
11452.58478,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2006
13130.42779,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2007
16695.81115,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2008
