value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Sex,Name of non-communicable disease,Reporting Type
288.0,5397,,CRI,Costa Rica,2000,Female,Diabetes,Global
1411.0,5397,,CRI,Costa Rica,2000,Female,Cancer,Global
1133.0,5397,,CRI,Costa Rica,2000,Both sexes,Chronic respiratory disease,Global
527.0,5397,,CRI,Costa Rica,2000,Both sexes,Diabetes,Global
4703.0,5397,,CRI,Costa Rica,2000,Both sexes,Cardiovascular disease,Global
3046.0,5397,,CRI,Costa Rica,2000,Both sexes,Cancer,Global
537.0,5397,,CRI,Costa Rica,2000,Female,Chronic respiratory disease,Global
2092.0,5397,,CRI,Costa Rica,2000,Female,Cardiovascular disease,Global
2610.0,5397,,CRI,Costa Rica,2000,Male,Cardiovascular disease,Global
1635.0,5397,,CRI,Costa Rica,2000,Male,Cancer,Global
596.0,5397,,CRI,Costa Rica,2000,Male,Chronic respiratory disease,Global
239.0,5397,,CRI,Costa Rica,2000,Male,Diabetes,Global
1079.0,5397,,CRI,Costa Rica,2005,Both sexes,Chronic respiratory disease,Global
4495.0,5397,,CRI,Costa Rica,2005,Both sexes,Cardiovascular disease,Global
3383.0,5397,,CRI,Costa Rica,2005,Both sexes,Cancer,Global
311.0,5397,,CRI,Costa Rica,2005,Male,Diabetes,Global
2463.0,5397,,CRI,Costa Rica,2005,Male,Cardiovascular disease,Global
577.0,5397,,CRI,Costa Rica,2005,Male,Chronic respiratory disease,Global
1803.0,5397,,CRI,Costa Rica,2005,Male,Cancer,Global
2032.0,5397,,CRI,Costa Rica,2005,Female,Cardiovascular disease,Global
1580.0,5397,,CRI,Costa Rica,2005,Female,Cancer,Global
502.0,5397,,CRI,Costa Rica,2005,Female,Chronic respiratory disease,Global
385.0,5397,,CRI,Costa Rica,2005,Female,Diabetes,Global
696.0,5397,,CRI,Costa Rica,2005,Both sexes,Diabetes,Global
1280.0,5397,,CRI,Costa Rica,2010,Both sexes,Chronic respiratory disease,Global
360.0,5397,,CRI,Costa Rica,2010,Male,Diabetes,Global
1950.0,5397,,CRI,Costa Rica,2010,Female,Cancer,Global
2515.0,5397,,CRI,Costa Rica,2010,Female,Cardiovascular disease,Global
412.0,5397,,CRI,Costa Rica,2010,Female,Diabetes,Global
595.0,5397,,CRI,Costa Rica,2010,Female,Chronic respiratory disease,Global
5543.0,5397,,CRI,Costa Rica,2010,Both sexes,Cardiovascular disease,Global
4254.0,5397,,CRI,Costa Rica,2010,Both sexes,Cancer,Global
685.0,5397,,CRI,Costa Rica,2010,Male,Chronic respiratory disease,Global
772.0,5397,,CRI,Costa Rica,2010,Both sexes,Diabetes,Global
2304.0,5397,,CRI,Costa Rica,2010,Male,Cancer,Global
3028.0,5397,,CRI,Costa Rica,2010,Male,Cardiovascular disease,Global
2498.0,5397,,CRI,Costa Rica,2015,Female,Cardiovascular disease,Global
502.0,5397,,CRI,Costa Rica,2015,Female,Diabetes,Global
478.0,5397,,CRI,Costa Rica,2015,Male,Diabetes,Global
2597.0,5397,,CRI,Costa Rica,2015,Male,Cancer,Global
690.0,5397,,CRI,Costa Rica,2015,Male,Chronic respiratory disease,Global
3175.0,5397,,CRI,Costa Rica,2015,Male,Cardiovascular disease,Global
585.0,5397,,CRI,Costa Rica,2015,Female,Chronic respiratory disease,Global
2092.0,5397,,CRI,Costa Rica,2015,Female,Cancer,Global
980.0,5397,,CRI,Costa Rica,2015,Both sexes,Diabetes,Global
1274.0,5397,,CRI,Costa Rica,2015,Both sexes,Chronic respiratory disease,Global
5672.0,5397,,CRI,Costa Rica,2015,Both sexes,Cardiovascular disease,Global
4688.0,5397,,CRI,Costa Rica,2015,Both sexes,Cancer,Global
1679.0,5397,,CRI,Costa Rica,2019,Both sexes,Diabetes,Global
6057.0,5397,,CRI,Costa Rica,2019,Both sexes,Cardiovascular disease,Global
5146.0,5397,,CRI,Costa Rica,2019,Both sexes,Cancer,Global
1442.0,5397,,CRI,Costa Rica,2019,Both sexes,Chronic respiratory disease,Global
761.0,5397,,CRI,Costa Rica,2019,Male,Chronic respiratory disease,Global
788.0,5397,,CRI,Costa Rica,2019,Male,Diabetes,Global
3295.0,5397,,CRI,Costa Rica,2019,Male,Cardiovascular disease,Global
2766.0,5397,,CRI,Costa Rica,2019,Male,Cancer,Global
681.0,5397,,CRI,Costa Rica,2019,Female,Chronic respiratory disease,Global
2380.0,5397,,CRI,Costa Rica,2019,Female,Cancer,Global
2762.0,5397,,CRI,Costa Rica,2019,Female,Cardiovascular disease,Global
891.0,5397,,CRI,Costa Rica,2019,Female,Diabetes,Global
2788.0,5397,,SLV,El Salvador,2000,Male,Cardiovascular disease,Global
738.0,5397,,SLV,El Salvador,2000,Male,Chronic respiratory disease,Global
357.0,5397,,SLV,El Salvador,2000,Male,Diabetes,Global
1415.0,5397,,SLV,El Salvador,2000,Male,Cancer,Global
2709.0,5397,,SLV,El Salvador,2000,Female,Cardiovascular disease,Global
430.0,5397,,SLV,El Salvador,2000,Female,Diabetes,Global
1968.0,5397,,SLV,El Salvador,2000,Female,Cancer,Global
693.0,5397,,SLV,El Salvador,2000,Female,Chronic respiratory disease,Global
1431.0,5397,,SLV,El Salvador,2000,Both sexes,Chronic respiratory disease,Global
5496.0,5397,,SLV,El Salvador,2000,Both sexes,Cardiovascular disease,Global
3383.0,5397,,SLV,El Salvador,2000,Both sexes,Cancer,Global
787.0,5397,,SLV,El Salvador,2000,Both sexes,Diabetes,Global
863.0,5397,,SLV,El Salvador,2005,Female,Chronic respiratory disease,Global
2906.0,5397,,SLV,El Salvador,2005,Female,Cardiovascular disease,Global
4016.0,5397,,SLV,El Salvador,2005,Both sexes,Cancer,Global
1777.0,5397,,SLV,El Salvador,2005,Both sexes,Chronic respiratory disease,Global
1197.0,5397,,SLV,El Salvador,2005,Both sexes,Diabetes,Global
5665.0,5397,,SLV,El Salvador,2005,Both sexes,Cardiovascular disease,Global
914.0,5397,,SLV,El Salvador,2005,Male,Chronic respiratory disease,Global
1700.0,5397,,SLV,El Salvador,2005,Male,Cancer,Global
2759.0,5397,,SLV,El Salvador,2005,Male,Cardiovascular disease,Global
476.0,5397,,SLV,El Salvador,2005,Male,Diabetes,Global
2316.0,5397,,SLV,El Salvador,2005,Female,Cancer,Global
721.0,5397,,SLV,El Salvador,2005,Female,Diabetes,Global
4183.0,5397,,SLV,El Salvador,2010,Both sexes,Cancer,Global
6502.0,5397,,SLV,El Salvador,2010,Both sexes,Cardiovascular disease,Global
1616.0,5397,,SLV,El Salvador,2010,Both sexes,Diabetes,Global
636.0,5397,,SLV,El Salvador,2010,Male,Diabetes,Global
999.0,5397,,SLV,El Salvador,2010,Male,Chronic respiratory disease,Global
3107.0,5397,,SLV,El Salvador,2010,Male,Cardiovascular disease,Global
2393.0,5397,,SLV,El Salvador,2010,Female,Cancer,Global
981.0,5397,,SLV,El Salvador,2010,Female,Diabetes,Global
3395.0,5397,,SLV,El Salvador,2010,Female,Cardiovascular disease,Global
2047.0,5397,,SLV,El Salvador,2010,Both sexes,Chronic respiratory disease,Global
1048.0,5397,,SLV,El Salvador,2010,Female,Chronic respiratory disease,Global
1790.0,5397,,SLV,El Salvador,2010,Male,Cancer,Global
977.0,5397,,SLV,El Salvador,2015,Female,Diabetes,Global
2031.0,5397,,SLV,El Salvador,2015,Female,Cancer,Global
4629.0,5397,,SLV,El Salvador,2015,Female,Cardiovascular disease,Global
1402.0,5397,,SLV,El Salvador,2015,Female,Chronic respiratory disease,Global
2911.0,5397,,SLV,El Salvador,2015,Both sexes,Chronic respiratory disease,Global
1687.0,5397,,SLV,El Salvador,2015,Both sexes,Diabetes,Global
9255.0,5397,,SLV,El Salvador,2015,Both sexes,Cardiovascular disease,Global
4626.0,5397,,SLV,El Salvador,2015,Male,Cardiovascular disease,Global
3672.0,5397,,SLV,El Salvador,2015,Both sexes,Cancer,Global
1508.0,5397,,SLV,El Salvador,2015,Male,Chronic respiratory disease,Global
1641.0,5397,,SLV,El Salvador,2015,Male,Cancer,Global
710.0,5397,,SLV,El Salvador,2015,Male,Diabetes,Global
4060.0,5397,,SLV,El Salvador,2019,Female,Cardiovascular disease,Global
1300.0,5397,,SLV,El Salvador,2019,Female,Diabetes,Global
4452.0,5397,,SLV,El Salvador,2019,Both sexes,Cancer,Global
2641.0,5397,,SLV,El Salvador,2019,Both sexes,Chronic respiratory disease,Global
2190.0,5397,,SLV,El Salvador,2019,Both sexes,Diabetes,Global
8219.0,5397,,SLV,El Salvador,2019,Both sexes,Cardiovascular disease,Global
1885.0,5397,,SLV,El Salvador,2019,Male,Cancer,Global
2567.0,5397,,SLV,El Salvador,2019,Female,Cancer,Global
1348.0,5397,,SLV,El Salvador,2019,Male,Chronic respiratory disease,Global
889.0,5397,,SLV,El Salvador,2019,Male,Diabetes,Global
4159.0,5397,,SLV,El Salvador,2019,Male,Cardiovascular disease,Global
1293.0,5397,,SLV,El Salvador,2019,Female,Chronic respiratory disease,Global
2377.0,5397,,CHL,Chile,2000,Male,Chronic respiratory disease,Global
1193.0,5397,,CHL,Chile,2000,Male,Diabetes,Global
9601.0,5397,,CHL,Chile,2000,Male,Cancer,Global
2062.0,5397,,CHL,Chile,2000,Female,Chronic respiratory disease,Global
11070.0,5397,,CHL,Chile,2000,Female,Cardiovascular disease,Global
11350.0,5397,,CHL,Chile,2000,Male,Cardiovascular disease,Global
22420.0,5397,,CHL,Chile,2000,Both sexes,Cardiovascular disease,Global
2590.0,5397,,CHL,Chile,2000,Both sexes,Diabetes,Global
18911.0,5397,,CHL,Chile,2000,Both sexes,Cancer,Global
4438.0,5397,,CHL,Chile,2000,Both sexes,Chronic respiratory disease,Global
9310.0,5397,,CHL,Chile,2000,Female,Cancer,Global
1397.0,5397,,CHL,Chile,2000,Female,Diabetes,Global
24304.0,5397,,CHL,Chile,2005,Both sexes,Cardiovascular disease,Global
3441.0,5397,,CHL,Chile,2005,Both sexes,Diabetes,Global
10821.0,5397,,CHL,Chile,2005,Male,Cancer,Global
20980.0,5397,,CHL,Chile,2005,Both sexes,Cancer,Global
2770.0,5397,,CHL,Chile,2005,Male,Chronic respiratory disease,Global
1617.0,5397,,CHL,Chile,2005,Male,Diabetes,Global
12319.0,5397,,CHL,Chile,2005,Male,Cardiovascular disease,Global
1825.0,5397,,CHL,Chile,2005,Female,Diabetes,Global
10158.0,5397,,CHL,Chile,2005,Female,Cancer,Global
11985.0,5397,,CHL,Chile,2005,Female,Cardiovascular disease,Global
2577.0,5397,,CHL,Chile,2005,Female,Chronic respiratory disease,Global
5347.0,5397,,CHL,Chile,2005,Both sexes,Chronic respiratory disease,Global
3269.0,5397,,CHL,Chile,2010,Female,Chronic respiratory disease,Global
1960.0,5397,,CHL,Chile,2010,Female,Diabetes,Global
11203.0,5397,,CHL,Chile,2010,Female,Cancer,Global
13421.0,5397,,CHL,Chile,2010,Female,Cardiovascular disease,Global
23654.0,5397,,CHL,Chile,2010,Both sexes,Cancer,Global
6706.0,5397,,CHL,Chile,2010,Both sexes,Chronic respiratory disease,Global
3766.0,5397,,CHL,Chile,2010,Both sexes,Diabetes,Global
27129.0,5397,,CHL,Chile,2010,Both sexes,Cardiovascular disease,Global
12451.0,5397,,CHL,Chile,2010,Male,Cancer,Global
13708.0,5397,,CHL,Chile,2010,Male,Cardiovascular disease,Global
1806.0,5397,,CHL,Chile,2010,Male,Diabetes,Global
3437.0,5397,,CHL,Chile,2010,Male,Chronic respiratory disease,Global
3529.0,5397,,CHL,Chile,2015,Male,Chronic respiratory disease,Global
2297.0,5397,,CHL,Chile,2015,Male,Diabetes,Global
3406.0,5397,,CHL,Chile,2015,Female,Chronic respiratory disease,Global
14148.0,5397,,CHL,Chile,2015,Female,Cardiovascular disease,Global
2527.0,5397,,CHL,Chile,2015,Female,Diabetes,Global
12522.0,5397,,CHL,Chile,2015,Female,Cancer,Global
6935.0,5397,,CHL,Chile,2015,Both sexes,Chronic respiratory disease,Global
26303.0,5397,,CHL,Chile,2015,Both sexes,Cancer,Global
28371.0,5397,,CHL,Chile,2015,Both sexes,Cardiovascular disease,Global
4824.0,5397,,CHL,Chile,2015,Both sexes,Diabetes,Global
14223.0,5397,,CHL,Chile,2015,Male,Cardiovascular disease,Global
13781.0,5397,,CHL,Chile,2015,Male,Cancer,Global
