value,source_id,notes_ids,iso3,Country__ESTANDAR,Sex,Five-year age groups,Years__ESTANDAR
3.5,6547,,ATG,Antigua and Barbuda,Men,0-4,1950
3.9,6547,,ATG,Antigua and Barbuda,Men,0-4,1955
4.3,6547,,ATG,Antigua and Barbuda,Men,0-4,1960
4.7,6547,,ATG,Antigua and Barbuda,Men,0-4,1965
4.7,6547,,ATG,Antigua and Barbuda,Men,0-4,1970
3.6,6547,,ATG,Antigua and Barbuda,Men,0-4,1975
3.6,6547,,ATG,Antigua and Barbuda,Men,0-4,1980
3.3,6547,,ATG,Antigua and Barbuda,Men,0-4,1985
3.2,6547,,ATG,Antigua and Barbuda,Men,0-4,1990
3.3,6547,,ATG,Antigua and Barbuda,Men,0-4,1995
3.6,6547,,ATG,Antigua and Barbuda,Men,0-4,2000
3.3,6547,,ATG,Antigua and Barbuda,Men,0-4,2005
3.4,6547,,ATG,Antigua and Barbuda,Men,0-4,2010
2.9,6547,,ATG,Antigua and Barbuda,Men,0-4,2015
2.7,6547,,ATG,Antigua and Barbuda,Men,0-4,2020
2.8,6547,,ATG,Antigua and Barbuda,Men,0-4,2025
2.7,6547,,ATG,Antigua and Barbuda,Men,0-4,2030
2.6,6547,,ATG,Antigua and Barbuda,Men,0-4,2035
2.4,6547,,ATG,Antigua and Barbuda,Men,0-4,2040
2.3,6547,,ATG,Antigua and Barbuda,Men,0-4,2045
2.2,6547,,ATG,Antigua and Barbuda,Men,0-4,2050
2.1,6547,,ATG,Antigua and Barbuda,Men,0-4,2055
2.1,6547,,ATG,Antigua and Barbuda,Men,0-4,2060
2.0,6547,,ATG,Antigua and Barbuda,Men,0-4,2065
1.9,6547,,ATG,Antigua and Barbuda,Men,0-4,2070
1.8,6547,,ATG,Antigua and Barbuda,Men,0-4,2075
1.8,6547,,ATG,Antigua and Barbuda,Men,0-4,2080
1.7,6547,,ATG,Antigua and Barbuda,Men,0-4,2085
1.7,6547,,ATG,Antigua and Barbuda,Men,0-4,2090
1.6,6547,,ATG,Antigua and Barbuda,Men,0-4,2095
1.6,6547,,ATG,Antigua and Barbuda,Men,0-4,2100
3.2,6547,,ATG,Antigua and Barbuda,Men,5-9,1950
3.4,6547,,ATG,Antigua and Barbuda,Men,5-9,1955
3.7,6547,,ATG,Antigua and Barbuda,Men,5-9,1960
4.2,6547,,ATG,Antigua and Barbuda,Men,5-9,1965
4.8,6547,,ATG,Antigua and Barbuda,Men,5-9,1970
4.3,6547,,ATG,Antigua and Barbuda,Men,5-9,1975
3.3,6547,,ATG,Antigua and Barbuda,Men,5-9,1980
3.3,6547,,ATG,Antigua and Barbuda,Men,5-9,1985
3.2,6547,,ATG,Antigua and Barbuda,Men,5-9,1990
3.3,6547,,ATG,Antigua and Barbuda,Men,5-9,1995
3.5,6547,,ATG,Antigua and Barbuda,Men,5-9,2000
3.6,6547,,ATG,Antigua and Barbuda,Men,5-9,2005
3.4,6547,,ATG,Antigua and Barbuda,Men,5-9,2010
3.4,6547,,ATG,Antigua and Barbuda,Men,5-9,2015
2.9,6547,,ATG,Antigua and Barbuda,Men,5-9,2020
2.7,6547,,ATG,Antigua and Barbuda,Men,5-9,2025
2.8,6547,,ATG,Antigua and Barbuda,Men,5-9,2030
2.7,6547,,ATG,Antigua and Barbuda,Men,5-9,2035
2.6,6547,,ATG,Antigua and Barbuda,Men,5-9,2040
