value,source_id,notes_ids,iso3,Geographical area,Country__ESTANDAR,Sex__ESTANDAR,Years__ESTANDAR
5.121,23,,AIA,National,Anguilla,Both sexes,1950
5.697,23,,AIA,National,Anguilla,Both sexes,1955
5.863,23,,AIA,National,Anguilla,Both sexes,1960
6.114,23,,AIA,National,Anguilla,Both sexes,1965
6.4,23,,AIA,National,Anguilla,Both sexes,1970
6.63,23,,AIA,National,Anguilla,Both sexes,1975
6.698,23,,AIA,National,Anguilla,Both sexes,1980
6.662,23,,AIA,National,Anguilla,Both sexes,1985
8.334,23,,AIA,National,Anguilla,Both sexes,1990
9.807,23,,AIA,National,Anguilla,Both sexes,1995
11.071,23,,AIA,National,Anguilla,Both sexes,2000
12.637,23,,AIA,National,Anguilla,Both sexes,2005
13.768,23,,AIA,National,Anguilla,Both sexes,2010
14.614,23,,AIA,National,Anguilla,Both sexes,2015
15.27,23,,AIA,National,Anguilla,Both sexes,2020
15.594,23,,AIA,National,Anguilla,Both sexes,2025
15.783,23,,AIA,National,Anguilla,Both sexes,2030
46.301,23,,ATG,National,Antigua and Barbuda,Both sexes,1950
52.611,23,,ATG,National,Antigua and Barbuda,Both sexes,1955
54.681,23,,ATG,National,Antigua and Barbuda,Both sexes,1960
59.653,23,,ATG,National,Antigua and Barbuda,Both sexes,1965
65.369,23,,ATG,National,Antigua and Barbuda,Both sexes,1970
69.253,23,,ATG,National,Antigua and Barbuda,Both sexes,1975
70.301,23,,ATG,National,Antigua and Barbuda,Both sexes,1980
65.744,23,,ATG,National,Antigua and Barbuda,Both sexes,1985
61.906,23,,ATG,National,Antigua and Barbuda,Both sexes,1990
68.349,23,,ATG,National,Antigua and Barbuda,Both sexes,1995
77.648,23,,ATG,National,Antigua and Barbuda,Both sexes,2000
82.565,23,,ATG,National,Antigua and Barbuda,Both sexes,2005
87.233,23,,ATG,National,Antigua and Barbuda,Both sexes,2010
91.822,23,,ATG,National,Antigua and Barbuda,Both sexes,2015
96.433,23,,ATG,National,Antigua and Barbuda,Both sexes,2020
100.914,23,,ATG,National,Antigua and Barbuda,Both sexes,2025
104.982,23,,ATG,National,Antigua and Barbuda,Both sexes,2030
23972.131,24,,ARG,National,Argentina,Both sexes,1970
26062.363,24,,ARG,National,Argentina,Both sexes,1975
28092.324,24,,ARG,National,Argentina,Both sexes,1980
30363.122,24,,ARG,National,Argentina,Both sexes,1985
32688.966,24,,ARG,National,Argentina,Both sexes,1990
34935.963,24,,ARG,National,Argentina,Both sexes,1995
36977.964,24,,ARG,National,Argentina,Both sexes,2000
39041.668,24,,ARG,National,Argentina,Both sexes,2005
41131.918,24,,ARG,National,Argentina,Both sexes,2010
43298.264,24,,ARG,National,Argentina,Both sexes,2015
45302.45,24,,ARG,National,Argentina,Both sexes,2020
47121.418,24,,ARG,National,Argentina,Both sexes,2025
48765.616,24,,ARG,National,Argentina,Both sexes,2030
50214.716,24,,ARG,National,Argentina,Both sexes,2035
51448.522,24,,ARG,National,Argentina,Both sexes,2040
52455.546,24,,ARG,National,Argentina,Both sexes,2045
53196.8,24,,ARG,National,Argentina,Both sexes,2050
38.066,23,,ABW,National,Aruba,Both sexes,1950
43.727,23,,ABW,National,Aruba,Both sexes,1955
54.208,23,,ABW,National,Aruba,Both sexes,1960
57.36,23,,ABW,National,Aruba,Both sexes,1965
59.065,23,,ABW,National,Aruba,Both sexes,1970
60.655,23,,ABW,National,Aruba,Both sexes,1975
60.096,23,,ABW,National,Aruba,Both sexes,1980
63.028,23,,ABW,National,Aruba,Both sexes,1985
62.148,23,,ABW,National,Aruba,Both sexes,1990
80.326,23,,ABW,National,Aruba,Both sexes,1995
90.858,23,,ABW,National,Aruba,Both sexes,2000
100.031,23,,ABW,National,Aruba,Both sexes,2005
101.597,23,,ABW,National,Aruba,Both sexes,2010
103.889,23,,ABW,National,Aruba,Both sexes,2015
105.545,23,,ABW,National,Aruba,Both sexes,2020
106.855,23,,ABW,National,Aruba,Both sexes,2025
107.734,23,,ABW,National,Aruba,Both sexes,2030
79.088,23,,BHS,National,Bahamas,Both sexes,1950
88.619,23,,BHS,National,Bahamas,Both sexes,1955
109.526,23,,BHS,National,Bahamas,Both sexes,1960
140.049,23,,BHS,National,Bahamas,Both sexes,1965
169.356,23,,BHS,National,Bahamas,Both sexes,1970
188.882,23,,BHS,National,Bahamas,Both sexes,1975
210.66,23,,BHS,National,Bahamas,Both sexes,1980
234.684,23,,BHS,National,Bahamas,Both sexes,1985
256.338,23,,BHS,National,Bahamas,Both sexes,1990
280.05,23,,BHS,National,Bahamas,Both sexes,1995
297.759,23,,BHS,National,Bahamas,Both sexes,2000
329.088,23,,BHS,National,Bahamas,Both sexes,2005
360.498,23,,BHS,National,Bahamas,Both sexes,2010
