iso3,Country__ESTANDAR,Years__ESTANDAR,Monthly Income,Deciles
BOL,Bolivia (Plurinational State of),2000,0.0,Decile 1
BOL,Bolivia (Plurinational State of),2000,10.0,Decile 2
BOL,Bolivia (Plurinational State of),2000,20.0,Decile 3
BOL,Bolivia (Plurinational State of),2000,30.0,Decile 4
BOL,Bolivia (Plurinational State of),2000,40.0,Decile 5
BOL,Bolivia (Plurinational State of),2000,50.0,Decile 6
BOL,Bolivia (Plurinational State of),2000,70.0,Decile 7
BOL,Bolivia (Plurinational State of),2000,90.0,Decile 8
BOL,Bolivia (Plurinational State of),2000,150.0,Decile 9
BOL,Bolivia (Plurinational State of),2000,420.0,Decile 10
BOL,Bolivia (Plurinational State of),2005,0.0,Decile 1
BOL,Bolivia (Plurinational State of),2005,10.0,Decile 2
BOL,Bolivia (Plurinational State of),2005,20.0,Decile 3
BOL,Bolivia (Plurinational State of),2005,30.0,Decile 4
BOL,Bolivia (Plurinational State of),2005,40.0,Decile 5
BOL,Bolivia (Plurinational State of),2005,50.0,Decile 6
BOL,Bolivia (Plurinational State of),2005,70.0,Decile 7
BOL,Bolivia (Plurinational State of),2005,100.0,Decile 8
BOL,Bolivia (Plurinational State of),2005,160.0,Decile 9
BOL,Bolivia (Plurinational State of),2005,430.0,Decile 10
BOL,Bolivia (Plurinational State of),2015,30.0,Decile 1
BOL,Bolivia (Plurinational State of),2015,70.0,Decile 2
BOL,Bolivia (Plurinational State of),2015,100.0,Decile 3
BOL,Bolivia (Plurinational State of),2015,130.0,Decile 4
BOL,Bolivia (Plurinational State of),2015,170.0,Decile 5
BOL,Bolivia (Plurinational State of),2015,210.0,Decile 6
BOL,Bolivia (Plurinational State of),2015,260.0,Decile 7
BOL,Bolivia (Plurinational State of),2015,330.0,Decile 8
BOL,Bolivia (Plurinational State of),2015,440.0,Decile 9
BOL,Bolivia (Plurinational State of),2015,840.0,Decile 10
BOL,Bolivia (Plurinational State of),2020,30.0,Decile 1
BOL,Bolivia (Plurinational State of),2020,80.0,Decile 2
BOL,Bolivia (Plurinational State of),2020,110.0,Decile 3
BOL,Bolivia (Plurinational State of),2020,140.0,Decile 4
BOL,Bolivia (Plurinational State of),2020,170.0,Decile 5
BOL,Bolivia (Plurinational State of),2020,210.0,Decile 6
BOL,Bolivia (Plurinational State of),2020,260.0,Decile 7
BOL,Bolivia (Plurinational State of),2020,330.0,Decile 8
BOL,Bolivia (Plurinational State of),2020,460.0,Decile 9
BOL,Bolivia (Plurinational State of),2020,880.0,Decile 10
BRA,Brazil,2005,50.0,Decile 1
BRA,Brazil,2005,90.0,Decile 2
BRA,Brazil,2005,120.0,Decile 3
BRA,Brazil,2005,150.0,Decile 4
BRA,Brazil,2005,190.0,Decile 5
BRA,Brazil,2005,210.0,Decile 6
BRA,Brazil,2005,340.0,Decile 7
BRA,Brazil,2005,410.0,Decile 8
